epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.7441666666666669,0.8708881961926818,0.0001,0.905125,0.27848793384444437
2,0.7613125,0.8178927148133517,0.0001,0.9145,0.25406642328351153
3,0.7685208333333334,0.7905122100561858,0.0001,0.91775,0.24964519344444852
4,0.7738333333333342,0.7682831819355488,0.0001,0.915625,0.24220197684073355
5,0.7780833333333343,0.7548151883110404,0.0001,0.91625,0.2472449553059414
6,0.7863750000000016,0.7253140447288752,0.0001,0.911625,0.25907714148706873
7,0.7877083333333359,0.7121724757552147,0.0001,0.918875,0.23794322458459646
8,0.791125000000002,0.7039790586009622,0.0001,0.920875,0.23431998338368432
9,0.7949166666666672,0.6915994223207236,0.0001,0.920125,0.2339647689695994
10,0.794104166666667,0.6890446669235826,0.0001,0.919125,0.2299319637978624
